x,y,title
-120.694322928145,35.6281613820761,Stifel Nicolaus
-119.500384570604,33.2494750226718,San Nicolas Island
-119.500265364166,33.2444982796202,San Nicolas Island
-119.463701326988,33.2412712537868,Naval Outlying Field San Nicolas Island
-119.436756539704,33.2290737151865,San Nicolas Island East End Light
-116.615248843596,31.8583051210366,San Nicolas Hotel
-111.925333211755,28.7365000269242,San Nicolas (San Nicolas de Kino)
-111.686166558994,28.7696666727729,San Nicolas
-110.592833225068,29.1888333245188,San Nicolas 1
-110.142833232766,30.4503333161499,San Nicolas
-110.017666562485,27.5526666590355,Granja San Nicolas
-109.971666621563,29.9335000051265,San Nicolas
-109.905900959612,23.0655393512139,San Nicolas
-109.673499878583,30.4876667195884,San Nicolas
-109.136666574962,27.039333258354,San Nicolas
-101.678172881868,21.1121351491755,Panteon San Nicolas
-101.203123098374,19.6886451675982,Universidad Michoacana de San Nicolas de Hidalgo
-99.5924522381116,19.353150492852,San Nicolas Tolentino
-99.5829104229952,19.3492900882823,San Nicolas Tolentino
-99.4861362649099,19.361436319375,San Nicolas Peralta
-99.4652779230018,18.7677779755263,Centro de Educación Media Superior a Distancia San Andres Nicolas Brav
-99.3803753607223,20.5604725773265,San Nicolas
-99.2100139095078,18.6407245947382,San Nicolas Galeana
-97.9033329413912,21.2330559962222,San Nicolasillo
-91.518888268357,14.8435484543879,San Nicolas
-90.5684382685768,14.6538389243344,Cibertienda Bosques Sn Nicolas
-90.4869238820544,14.6819314800303,Panaderia y pasteleria San Nicolas
-89.2700152433725,13.6674060786531,Farmacia San Nicolas
-89.2695247632274,13.6790491147115,Farmacia San Nicolas- Chiltuipan
-89.2628876505822,13.6805434910489,Farmacia San Nicolas
-89.2335124712969,13.7020156908866,Farmacia San Nicolas
-88.3302028236923,14.9427313028382,San Nicolas
-84.0608542431945,9.94921685701792,Parqueo San Nicolas
-83.9339909248361,9.87888600318708,Pali San Nicolas-Taras #3131
-83.9336129137645,9.87543600667909,Iglesia San Nicolas Tolentino
-83.9326375230291,9.87529537937082,Liceo San Nicolas
-79.9552244317112,-2.11506238399469,"Colegio ""San Nicolas"""
-79.4472471709725,43.6768181905368,S. Nicola Dibari Roman Catholic Church
-77.5232637025452,1.19354309628305,San Nicolas
-77.5011976655691,-6.3923100477395,San Nicolas Airport
-77.1072030498244,8.3363994887481,San Nicolas
-77.0059807039467,-12.0089385518929,Colegio San Nicolas
-76.5919303910002,8.71952526282011,San Nicolas Del Rio
-76.573888806497,42.9386110772257,Saint Nicolas Greek Catholic Russian Church
-76.5256581690611,3.45855435117263,Estación MIO - San Nicolas
-76.5252055079895,3.45464849828833,Iglesia de San Nicolas
-76.5228441964336,3.45523465970104,San Nicolas
-76.4237002826288,3.05008797703153,San Nicolas
-76.1171995094322,6.81601839385804,San Nicolas
-76.0940704959804,5.68756778777821,Cerro San Nicolas
-75.8175721058004,6.47278341890954,San Nicolas
-75.4795752309326,5.59785741997599,San Nicolas
-75.4774471220245,5.61478306394915,San Nicolas
-75.3723719018933,3.90603959209412,San Nicolas
-75.3418599046159,6.34661869763553,San Nicolas
-75.3288476280624,9.03968225139827,San Nicolas
-75.1981911734168,3.86232472894944,San Nicolas
-75.0884967262631,3.86544716611453,Hacienda San Nicolas
-74.9345569276,6.68026941238153,San Nicolas
-74.8681408853839,6.68935673054867,San Nicolas
-74.712314265298,4.18292145400762,San Nicolas
-74.1118105302949,45.756289093531,Saint-Nicolas-Ouest
-74.1047292905733,4.66774245107705,Conjunto San Nicolas
-74.0882395457234,45.757245591707,Saint-Nicolas-Est
-73.8730470414342,5.9082961572233,San Nicolas
-73.382130674403,7.34851609768965,San Nicolas
-73.3774339227715,19.8078480538276,Môle Saint-Nicolas
-72.8845073057975,5.82086035859457,San Nicolas
-72.8007523412934,4.70627745285138,San Nicolas
-72.6999065691829,19.1089731643952,College Saint-Nicolas
-72.6999065691829,19.1089731643952,College Saint-Nicolas
-72.699099253237,19.1136729918264,Hôpital Saint Nicolas
-72.6990804784476,19.1139428225448,Chapelle Saint-Nicolas de Saint Marc
-72.5131424198695,18.7714820895448,Centre de Santé Nicolas Armand
-72.1373505463899,5.30869186090337,San Nicolas
-72.1023516439314,18.8321818875849,St Nicolas Papa
-71.4910329115598,6.19591160369536,San Nicolas
-71.4896184243134,6.19888077827595,Corregimiento San Nicolas
-71.485199970757,6.1906020202533,San Nicolas
-71.4548607195087,46.6932577017011,Cidrerie et Vergers Saint-Nicolas
-71.3951428753772,46.7028580076319,Saint-Nicolas
-71.3542995336802,46.6757021703717,Saint-Nicolas (Bernières Ouest)
-71.3497543278372,46.6756719688065,Saint-Nicolas
-71.3396328298679,46.679549958251,Saint-Nicolas
-71.3025842414257,46.70911608156,Saint-Nicolas (Bernières)
-71.3000374277637,46.719671171782,SAQ St-Nicolas
-71.2950960648803,46.715113701949,Bernieres / St-Redempteur / St-Nicolas
-71.2877259269633,46.7001079587089,St-Nicolas
-70.8595885032258,47.1592367784881,Saint-Nicolas
-70.8520202867886,47.1537458833255,Ruisseau de Saint-Nicolas
-70.7561728307505,-33.5049357979106,Colegio San Nicolas De Maipu
-70.7257676431604,7.02411131268587,San Nicolas
-70.7026227295281,-33.2752961344533,Escuela Basica San Nicolas Diacono
-70.6796767927313,-33.3832986086682,Escuela Especial San Nicolas De Belen
-70.6747993000646,-33.4199914141496,Escuela Basica San Nicolas
-70.6631973785071,-33.5201854048806,Escuela Especial San Nicolas De La Ciste
-70.5548646874926,-33.3897071579207,Consultorio CESFAM Siervo de Dios Nicola D'Onofrio
